functionname,protocol,device,subdevice,function
0/HIDE,NEC1,8,19,210
1/FREEZE,NEC1,8,19,199
2/VGA,NEC1,8,19,200
3/HDMI/MHL,NEC1,8,19,201
3D,NEC1,8,19,138
4/PGUP,NEC1,8,19,208
5/COMPONENT,NEC1,8,19,102
6/VIDEO,NEC1,8,19,103
7/PGDN,NEC1,8,19,209
8/MEDIA,NEC1,8,19,214
9/LAN/WIFI,NEC1,8,19,75
BACK/STOP,NEC1,8,19,193
DOWN ARROW/KEYSTONE DOWN,NEC2,8,19,133
ENTER/PLAY/PAUSE,NEC1,8,19,194
LEFT ARROW,NEC2,8,19,131
MENU,NEC1,8,19,132
MODE,NEC1,8,19,128
MUTE,NEC1,8,19,97
POWER,NEC1,8,19,135
RATIO,NEC1,8,19,96
RIGHT ARROW,NEC2,8,19,129
SOURCE,NEC1,8,19,140
UP ARROW/KEYSTONE UP,NEC2,8,19,130
ZOOM IN,NEC1,8,19,211
ZOOM OUT,NEC1,8,19,212
